"scenario_id","hh_type","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"wetwarm","h-hh5_urb",-0.02420736,-0.01261891,0.00346111,0.0019135,0.00410747,-0.00225899,-0.00817098,-0.01803189,-0.01501889,-0.01739807,-0.00898638,-0.00338139,-0.00163001,-0.00194281,0.00241677,-0.00113677,-0.00352973,-0.01057454,-0.01160082,-0.01289142,-0.01491973,-0.01270515,-0.00908124,-0.00981214,-0.01066042,-0.00536245,-0.00753529
"nzs","h-hh1_rur",-0.0008668,-0.00081779,-0.00347681,-0.00363794,-0.00376658,-0.00516189,-0.00815285,-0.01007216,-0.0106108,-0.013325,-0.01241833,-0.01333127,-0.0155004,-0.01941345,-0.02097209,-0.02243339,-0.02411876,-0.026642,-0.02649109,-0.02794899,-0.02775614,-0.02675407,-0.02526779,-0.02558869,-0.02656459,-0.02565269,-0.02275945
"nzs","h-hh2_rur",-0.00093467,-0.00096042,-0.00286475,-0.00291186,-0.00295193,-0.00388096,-0.00597727,-0.00726782,-0.00753983,-0.00953928,-0.00840902,-0.00915612,-0.01110765,-0.01455721,-0.01619965,-0.01770784,-0.01926022,-0.02141683,-0.02144306,-0.02268076,-0.02229769,-0.02155483,-0.02039524,-0.02065057,-0.02142448,-0.0207619,-0.01859693
"nzs","h-hh3_rur",-0.00078397,-0.00078168,-0.00205611,-0.00192718,-0.00170957,-0.00200737,-0.00330016,-0.00405624,-0.00393107,-0.0053325,-0.00381653,-0.00422191,-0.00560809,-0.00835851,-0.00965599,-0.0106357,-0.01148902,-0.01305368,-0.0126379,-0.01331449,-0.01254408,-0.01185725,-0.01045287,-0.01029633,-0.01084235,-0.01018407,-0.00827755
"nzs","h-hh4_rur",-0.00080359,-0.00082667,-0.00170307,-0.00150804,-0.00116706,-0.0011806,-0.00197829,-0.00239058,-0.00213549,-0.00316207,-0.00153027,-0.00182538,-0.00298756,-0.00527934,-0.00644668,-0.00737811,-0.0080105,-0.00927522,-0.0087832,-0.00922125,-0.00844472,-0.00804255,-0.00689994,-0.00671826,-0.00721048,-0.0067068,-0.00523519
"nzs","h-hh5_rur",-0.00057068,-0.00054633,-0.00066041,-0.0001085,0.00070402,0.00179046,0.00208515,0.00248168,0.00354094,0.00326746,0.00580609,0.00606228,0.00582434,0.00448498,0.00405508,0.00435843,0.00528859,0.00505936,0.00687051,0.00759925,0.00951296,0.01005204,0.01236341,0.01365681,0.01362738,0.01459016,0.01623557
"nzs","h-hh1_urb",-0.00089462,-0.00084642,-0.00271272,-0.00269451,-0.00252797,-0.00335276,-0.00548307,-0.00690393,-0.0072078,-0.00922322,-0.0079609,-0.00862271,-0.01046395,-0.01376268,-0.01516592,-0.01661755,-0.01784544,-0.01986482,-0.01953565,-0.02058263,-0.02006022,-0.01923874,-0.01790912,-0.01791577,-0.01858499,-0.01776683,-0.01543884
"nzs","h-hh2_urb",-0.00080537,-0.00073246,-0.00156673,-0.00127174,-0.00072557,-0.00062546,-0.00139236,-0.00186975,-0.00162544,-0.002656,-0.00086048,-0.00111864,-0.00222616,-0.00441924,-0.00547325,-0.00643171,-0.00687857,-0.00805772,-0.007346,-0.00764267,-0.00682294,-0.00649025,-0.00536295,-0.0051128,-0.00562851,-0.00509984,-0.00359771
"nzs","h-hh3_urb",-0.00071957,-0.00064584,-0.00098381,-0.00058225,0.00023226,0.00079415,0.00079104,0.00088766,0.00141582,0.00094525,0.00292759,0.00297713,0.00251447,0.00134433,0.00075595,0.00013764,0.00015162,-0.00051894,0.00045305,0.00059666,0.00115128,0.00086921,0.00144571,0.00152094,0.00081328,0.00087219,0.00161503
"nzs","h-hh4_urb",-0.00061616,-0.00049819,-0.00052525,1.38e-06,0.00097584,0.00190659,0.00232321,0.00269289,0.00343696,0.00322482,0.00543507,0.00563374,0.00542293,0.00454449,0.00411242,0.00381103,0.00420753,0.0038267,0.00508358,0.00552868,0.00631926,0.00598169,0.00676636,0.00707205,0.0064509,0.00654962,0.00723543
